,Id,Soil type,StuckInMud,VisibleSnow,Town,Area,Date,EPSG,Latitude,Longitude,NSDSI1,NSDSI2,NSDSI3,SurfaceTemp,NSDSI1-2week,NSDSI2-2week,NSDSI3-2week,SurfaceTemp-2week,NSDSI1-4week,NSDSI2-4week,NSDSI3-4week,SurfaceTemp-4week
57,58,chernozems,False,False,Volodymyrivka,Soledar,2022-06-11,32637,440336.09956959524,5393193.161214976,0.1432124623641838,0.16715049656226127,0.07712915961646927,50330.0,0.12345425975268157,0.14084177708495713,0.06578803655295445,49354.0,0.15299205990575174,0.18062647664049997,0.08283237802320705,47159.0
58,59,chernozems,False,False,Vuhledar,Vuhledar,2022-07-11,32637,376650.51583657914,5291558.088439392,,,,,,,,,,,,
59,60,kastanozem,False,False,Ternovi Pody,Kherson,2022-10-11,32636,452759.2305251818,5189911.7339179525,,,,,,,,,,,,
60,61,chernozems,False,False,Dudchany,Kherson,2022-10-11,32636,556785.7858633703,5224931.575003477,,,,,,,,,,,,
61,62,chernozems,False,False,Pisky,Pisky,2022-11-17,32637,399252.7106923936,5324731.458106312,0.06098612526456063,0.06494699056682528,0.031452134540750326,41082.0,0.06098612526456063,0.06494699056682528,0.031452134540750326,41082.0,0.06098612526456063,0.06494699056682528,0.031452134540750326,41082.0
62,63,chernozems,False,False,Nevel's'ke,Pisky,2022-11-17,32637,395624.4429232357,5322781.7416563425,0.14775551981283813,0.1733722226988076,0.07977106769291493,40970.0,0.14775551981283813,0.1733722226988076,0.07977106769291493,40970.0,0.14775551981283813,0.1733722226988076,0.07977106769291493,40970.0
63,64,chernozems,True,False,Pavlivka,Vuhledar,2022-11-20,32637,364394.4806881554,5288889.689986646,,,,,,,,,0.10703154694032688,0.1198603898867796,0.056541643241506706,40195.0
64,65,chernozems,False,True,Volodymyrivka,Vuhledar,2022-11-21,32637,378022.7191053459,5290913.192747359,,,,,,,,,0.12004003717737899,0.1364153396165096,0.06385244343030995,41097.0
65,66,chernozems,True,False,Novoselivka Druha,Avdiivka,2022-11-30,32637,409046.4592841751,5339633.760157493,0.14936326354413987,0.17558995178888606,0.08070912059715418,38338.0,0.04000492368291482,0.041672009231952814,0.02041072662186774,39888.0,0.04000492368291482,0.041672009231952814,0.02041072662186774,39888.0
66,67,chernozems,False,False,Pisky,Pisky,2022-11-01,32637,399388.9553632972,5324724.397426779,0.08576263364356589,0.09380784115766448,0.04480250733314582,41355.0,0.08576263364356589,0.09380784115766448,0.04480250733314582,41355.0,0.09043611323641929,0.09942799461641992,0.04735956406763363,43030.0
